"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","genename"
"ENSG00000154734|ADAMTS1",12.021867089032,0.5397569039785,0.871017511728285,0.619685479006623,0.535464877658244,0.993529997146041,"ADAMTS1","ADAM metallopeptidase with thrombospondin type 1 motif 1"
"ENSG00000215326|GPX1P2",10694.2381709082,-0.15196795987792,0.758749469434787,-0.200287401836505,0.841255814807975,0.993529997146041,"GPX1P2",NA
"ENSG00000142192|APP",291.959401252489,-0.641023672673759,0.502389481407818,-1.27594962951345,0.201973325499609,0.993529997146041,"APP","amyloid beta precursor protein"
"ENSG00000233783",4.79904676124644,-2.37434530982377,1.55784985444001,-1.52411691220221,0.127479508677676,0.982030600945242,NA,NA
"ENSG00000232855",54.9673626619195,-0.30578306622377,0.835607751537641,-0.365940916250578,0.71440916400117,0.993529997146041,NA,NA
"ENSG00000156253|RWDD2B",4.58655148605835,-5.65331111284688,4.79645167312991,-1.17864444345748,0.23853978657302,0.993529997146041,"RWDD2B","RWD domain containing 2B"
"ENSG00000156265|MAP3K7CL",239.35007994887,-1.73775240049013,2.43698217967433,-0.713075546872631,0.475799010116462,0.993529997146041,"MAP3K7CL","MAP3K7 C-terminal like"
"ENSG00000156273|BACH1",5.02456850237422,-5.78299177416137,2.95502565049358,-1.95700222541061,0.05034720671354,0.587378236954853,"BACH1","BTB domain and CNC homolog 1"
"ENSG00000174680|GRIK1-AS1",8.92589801883974,0.112548374096084,1.19961361984657,0.0938205204026266,0.925251730659288,0.993529997146041,"GRIK1-AS1",NA
"ENSG00000230870|FBXW11P1",78.4454512634587,-0.0603808699292039,0.537380264880679,-0.112361532187288,0.910536754995962,0.993529997146041,"FBXW11P1","F-box and WD repeat domain containing 11 pseudogene 1"
"ENSG00000142168|SOD1",41.3249472463446,8.82902538818851,4.78607227709221,1.84473298291948,0.0650763904387724,0.650763904387724,"SOD1","superoxide dismutase 1"
"ENSG00000234107|TPT1P1",11.9393474225973,-0.531516932420979,1.02413767086656,-0.518989729155501,0.603767903614539,0.993529997146041,"TPT1P1",NA
"ENSG00000237325",79.6738210295955,0.347228518935934,0.367772878792894,0.944138458702039,0.345098898639985,0.993529997146041,"MTRES1P2","MTRES1 pseudogene 2"
"ENSG00000261610",4.16174959520764,0.594986399861049,1.65162876878544,0.360242211267961,0.718666010738838,0.993529997146041,NA,NA
"ENSG00000233300|EIF4A1P1",2352.95815601919,-0.0122253687904772,0.290176374795589,-0.0421308206055341,0.966394410686224,0.993529997146041,"EIF4A1P1","eukaryotic translation initiation factor 4A1 pseudogene 1"
"ENSG00000217026|RPL10P1",6818.55174765106,-0.220421972370372,0.168264857578771,-1.30997033808551,0.190205870218951,0.993529997146041,"RPL10P1","ribosomal protein L10 pseudogene 1"
"ENSG00000256073|URB1-AS1",12.1700755139005,0.241901701084185,1.03672130149381,0.233333395132934,0.815502528609037,0.993529997146041,"URB1-AS1",NA
"ENSG00000265590|CFAP298-TCP10L",13.8873621886395,-1.53704898732295,4.30865846139481,-0.356734932948335,0.721290251188587,0.993529997146041,"CFAP298-TCP10L","CFAP298-TCP10L readthrough"
"ENSG00000159079|CFAP298",8.02714802626837,6.46374493422605,4.7915749598186,1.34898128244471,0.177342978242251,0.993529997146041,"CFAP298","cilia and flagella associated protein 298"
"ENSG00000229007|EXOSC3P1",288.452562480789,0.123211995532715,0.557633895727016,0.220954996596966,0.825127474413626,0.993529997146041,"EXOSC3P1",NA
"ENSG00000159110|IFNAR2",584.090553244008,-0.268174282307617,3.44580234405474,-0.0778263682971589,0.93796617119109,0.993529997146041,"IFNAR2","interferon alpha and beta receptor subunit 2"
"ENSG00000249624|IFNAR2-IL10RB",54.1213075354885,-9.21290772107846,4.78573075764784,-1.92507856952792,0.0542195295650633,0.587378236954853,"IFNAR2-IL10RB","IFNAR2-IL10RB readthrough"
"ENSG00000243646|IL10RB",335.583543062794,-11.8451891339489,1.59930124223541,-7.40647779238409,1.29697949556944e-13,1.68607334424027e-11,"IL10RB","interleukin 10 receptor subunit beta"
"ENSG00000223799|IL10RB-DT",26.8073735311857,-1.00863502163927,2.50164245772798,-0.403189120221169,0.686809102812485,0.993529997146041,"IL10RB-DT",NA
"ENSG00000205930|C21orf62-AS1",6.8517741078567,-0.0211378703229173,2.60670604397608,-0.00810903491468305,0.993529997146041,0.993529997146041,"EPCIP-AS1","EPCIP antisense RNA 1"
"ENSG00000205929|C21orf62",40.8335086164486,-0.207347594926799,0.656694537307408,-0.315744357760261,0.752196555055114,0.993529997146041,"EPCIP","exosomal polycystin 1 interacting protein"
"ENSG00000205927|OLIG2",2.9775711118098,-0.873662825598482,2.4761616189952,-0.3528294837043,0.724216278697557,0.993529997146041,"OLIG2","oligodendrocyte transcription factor 2"
"ENSG00000184221|OLIG1",183.947371801883,0.547280815432376,0.568933212577514,0.961942110837504,0.336078683761881,0.993529997146041,"OLIG1","oligodendrocyte transcription factor 1"
"ENSG00000207098|SNORA70",885.714367495591,0.300980205221811,0.289020171199563,1.04138131249666,0.297698612091433,0.993529997146041,"LOC124900470","small nucleolar RNA SNORA70"
"ENSG00000238197|PAXBP1-AS1",18.9824630853656,-0.213898906009749,0.934456357247672,-0.228901975304403,0.818945105256338,0.993529997146041,"PAXBP1-AS1","PAXBP1 antisense RNA 1"
"ENSG00000215088|RPS5P3",25.3017580139621,-0.100718182222851,0.804033974526403,-0.125266077571133,0.900312906784639,0.993529997146041,"RPS5P3","RPS5 pseudogene 3"
