transcript_id,SRR13953391,SRR13953392,SRR13953401,SRR13953402
ENST00000664349,0,0,0,0
ENST00000665709,0,0,0,0
ENST00000664379,0,0,0,0
ENST00000666222,0,0,0,0
ENST00000661917,0,0,0,0
ENST00000665548,0,0,0,0
ENST00000652807,0,0,0,0
ENST00000665378,0,0,0,0
ENST00000671000,0,0,0,0
ENST00000655997,0,0,0,0
ENST00000665470,0,0,0,0
ENST00000654618,0,0,0,0
ENST00000659193,0,0,0,0
ENST00000658569,0,0,0,0
ENST00000669863,0,0,0,0
ENST00000665918,0,0,0,0
ENST00000671660,0,0,0,0
ENST00000670750,0,0,0,0
ENST00000655551,0,0,0,0
ENST00000656151,0,0,0,0
ENST00000658703,0,0,0,0
ENST00000658250,0,0,0,0
ENST00000416768,0,0,0,0
ENST00000668142,0,0,0,0
ENST00000655298,0,0,0,0
ENST00000655949,0,0,0,0
ENST00000667667,0,0,0,0
ENST00000701262,0,0,0,0
ENST00000437238,0,0,0,0
ENST00000665727,0,0,0,0
ENST00000665333,0,0,0,0
ENST00000655010,0,0,0,0
ENST00000419299,0,0,0,0
ENST00000665419,0,0,0,0
ENST00000669117,0,0,0,0
ENST00000669337,0,0,0,0
ENST00000667018,0,0,0,0
ENST00000655525,0,0,0,0
ENST00000665849,0,0,0,0
ENST00000659998,0,0,0,0
ENST00000670351,0,0,0,0
ENST00000653294,0,0,0,0
ENST00000658084,0,0,0,0
ENST00000666757,0,0,0,0
ENST00000661350,0,0,0,0
ENST00000663052,0,0,0,0
ENST00000667679,0,0,0,0
ENST00000654018,0,0,0,0
ENST00000435279,0,0,0,0
ENST00000701102,0,0,0,0
ENST00000653863,0,0,0,0
ENST00000688468,0,0,0,0
ENST00000701305,0,0,0,0
ENST00000700928,0,0,0,0
ENST00000452561,0,0,0,0
ENST00000665477,0,0,0,0
ENST00000666206,0,0,0,0
ENST00000701250,0,0,0,0
ENST00000656404,0,0,0,0
ENST00000659386,0,0,0,0
ENST00000666608,0,0,0,0
ENST00000666665,0,0,0,0
ENST00000658509,0,0,0,0
ENST00000663053,0,0,0,0
ENST00000660140,0,0,0,0
ENST00000663537,0,0,0,0
ENST00000669197,0,0,0,0
ENST00000660599,0,0,0,0
ENST00000655207,0,0,0,0
ENST00000659911,0,0,0,0
ENST00000656294,0,0,0,0
ENST00000659325,0,0,0,0
ENST00000670141,0,0,0,0
ENST00000654371,0,0,0,0
ENST00000654836,0,0,0,0
ENST00000660247,0,0,0,0
ENST00000701638,0,0,0,0
ENST00000441759,0,0,0,0
ENST00000379571,56,56,73,34
ENST00000433101,0,0,0,0
ENST00000655729,0,0,0,0
ENST00000262354,0,0,0,0
ENST00000664912,0,0,0,0
ENST00000661065,0,0,0,0
ENST00000656174,0,0,0,0
ENST00000665559,0,0,0,0
ENST00000653972,0,0,0,0
ENST00000654898,0,0,0,0
ENST00000425085,0,0,0,0
ENST00000447052,83112,85374,80222,57240
ENST00000642623,0,0,0,0
ENST00000416218,0,0,0,0
ENST00000656088,0,0,0,0
ENST00000653855,0,0,0,0
ENST00000657522,0,0,0,0
ENST00000659824,0,0,0,0
ENST00000656122,0,0,0,0
ENST00000656842,0,0,0,0
ENST00000653413,0,0,0,0
ENST00000423581,0,0,0,0
ENST00000671574,0,0,0,0
ENST00000666492,0,0,0,0
ENST00000668315,0,0,0,0
ENST00000655294,0,0,0,0
ENST00000653166,0,0,0,0
ENST00000655533,0,0,0,0
ENST00000654158,0,0,0,0
ENST00000663985,0,0,0,0
ENST00000655241,0,0,0,0
ENST00000655505,0,0,0,0
ENST00000657079,0,0,0,0
ENST00000654771,0,0,0,0
ENST00000701591,0,0,0,0
ENST00000670142,0,0,0,0
ENST00000415182,0,0,0,0
ENST00000656780,0,0,0,0
ENST00000668910,0,0,0,0
ENST00000662917,0,0,0,0
ENST00000657774,0,0,0,0
ENST00000655039,0,0,0,0
ENST00000453784,3,2,2,3
ENST00000668921,0,0,0,0
ENST00000415269,0,0,0,0
